state_name,area_sq_miles,area_sq_km,land_sq_miles,land_sq_km,water_sq_miles,water_sq_km,percent_water
Alabama,52420,135767,50645,131171,1775,4597,3.4%
Alaska,665384,1723337,570641,1477953,94743,245383,14.2%
Arizona,113990,295234,113594,294207,396,1026,0.3%
Arkansas,53179,137732,52035,134771,1143,2961,2.1%
California,163695,423967,155779,403466,7916,20501,4.8%
Colorado,104094,269601,103642,268431,452,1170,0.4%
Connecticut,5543,14357,4842,12542,701,1816,12.6%
Delaware,2489,6446,1949,5047,540,1399,21.7%
District of Columbia,68,177,61,158,7,19,10.3%
Florida,65758,170312,53625,138887,12133,31424,18.5%
Georgia,59425,153910,57513,148959,1912,4951,3.2%
Hawaii,10932,28313,6423,16635,4509,11678,41.2%
Idaho,83569,216443,82643,214045,926,2398,1.1%
Illinois,57914,149995,55519,143793,2395,6202,4.1%
Indiana,36420,94326,35826,92789,593,1537,1.6%
Iowa,56273,145746,55857,144669,416,1077,0.7%
Kansas,82278,213100,81759,211754,520,1346,0.6%
Kentucky,40408,104656,39486,102269,921,2387,2.3%
Louisiana,52378,135659,43204,111898,9174,23761,17.5%
Maine,35380,91633,30843,79883,4537,11750,12.8%
Maryland,12406,32131,9707,25142,2699,6990,21.8%
Massachusetts,10554,27336,7800,20202,2754,7134,26.1%
Michigan,96714,250487,56539,146435,40175,104052,41.5%
Minnesota,86936,225163,79627,206232,7309,18930,8.4%
Mississippi,48432,125438,46923,121531,1509,3907,3.1%
Missouri,69707,180540,68742,178040,965,2501,1.4%
Montana,147040,380831,145546,376962,1494,3869,1.0%
Nebraska,77348,200330,76824,198974,524,1356,0.7%
Nevada,110572,286380,109781,284332,791,2048,0.7%
New Hampshire,9349,24214,8953,23187,397,1027,4.2%
New Jersey,8723,22591,7354,19047,1368,3544,15.7%
New Mexico,121590,314917,121298,314161,292,757,0.2%
New York,54555,141297,47126,122057,7429,19240,13.6%
North Carolina,53819,139391,48618,125920,5201,13471,9.7%
North Dakota,70698,183108,69001,178711,1698,4397,2.4%
Ohio,44826,116098,40861,105829,3965,10269,8.8%
Oklahoma,69899,181037,68595,177660,1304,3377,1.9%
Oregon,98379,254799,95988,248608,2391,6191,2.4%
Pennsylvania,46054,119280,44743,115883,1312,3397,2.8%
Rhode Island,1545,4001,1034,2678,511,1324,33.1%
South Carolina,32020,82933,30061,77857,1960,5076,6.1%
South Dakota,77116,199729,75811,196350,1305,3379,1.7%
Tennessee,42144,109153,41235,106798,909,2355,2.2%
Texas,268596,695662,261232,676587,7365,19075,2.7%
Utah,84897,219882,82170,212818,2727,7064,3.2%
Vermont,9616,24906,9217,23871,400,1035,4.2%
Virginia,42775,110787,39490,102279,3285,8508,7.7%
Washington,71298,184661,66456,172119,4842,12542,6.8%
West Virginia,24230,62756,24038,62259,192,497,0.8%
Wisconsin,65496,169635,54158,140268,11339,29367,17.3%
Wyoming,97813,253335,97093,251470,720,1864,0.7%